fundType,companyName,fundName,registeredAt,expiredAt,settlementMonth,manager,support,purpose,industry,baseRate,totalAmount
투자조합,스틱벤처스,스틱벤처스 모태자조합 제1호,,,12,,모태펀드,,,,33400000000
투자조합,엘비인베스트먼트,엘비인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,25000000000
투자조합,에스엘인베스트먼트,에스엘인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,26904000000
투자조합,에스제이벤처인베스트먼트,에스제이벤처인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,20000000000
투자조합,한화투자증권,한화투자증권 모태자조합 제1호,,,12,,모태펀드,,,,20000000000
투자조합,일신창업투자,일신창업투자 모태자조합 제1호,,,12,,모태펀드,,,,95236000000
투자조합,스톤브릿지벤처스,스톤브릿지벤처스 모태자조합 제1호,,,12,,모태펀드,,,,51500000000
투자조합,스틱벤처스,스틱벤처스 모태자조합 제2호,,,12,,모태펀드,,,,119000000000
투자조합,일신창업투자,일신창업투자 모태자조합 제2호,,,12,,모태펀드,,,,29500000000
투자조합,센츄리온기술투자,센츄리온기술투자 모태자조합 제1호,,,12,,모태펀드,,,,25250000000
투자조합,스마일게이트인베스트먼트,스마일게이트인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,12000000000
투자조합,원익투자파트너스,원익투자파트너스 모태자조합 제1호,,,12,,모태펀드,,,,5000000000
투자조합,인터베스트,인터베스트 모태자조합 제1호,,,12,,모태펀드,,,,28000000000
투자조합,엘비인베스트먼트,엘비인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,30000000000
투자조합,에스유앤피,에스유앤피 모태자조합 제1호,,,12,,모태펀드,,,,15000000000
투자조합,화이텍인베스트먼트,화이텍인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,프리미어파트너스,프리미어파트너스 모태자조합 제1호,,,12,,모태펀드,,,,50000000000
투자조합,유안타인베스트먼트,유안타인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10500000000
